date,open,high,low,close,volume,change_percent,avg_vol_20d
2004-08-19,33.73,33.85,33.41,33.6719,106807703,-0.53,103357767.35
2004-08-20,33.57,34.1406,33.51,34.01,92027000,1.0,102603341.95
2004-08-23,34.05,34.27,33.91,34.09,83568102,0.24,101131516.95
2004-08-24,34.25,34.31,33.81,34.08,86761203,-0.03,100293851.7
2004-08-25,34.06,34.6,33.9,34.55,88413398,1.38,96961906.75
2004-08-26,34.46,34.55,34.31,34.4,57768000,-0.43,94899366.9
2004-08-27,34.46,34.68,34.44,34.56,58617102,0.47,93678232.15
2004-08-30,34.41,34.43,33.944,33.98,62408000,-1.68,92731432.15
2004-08-31,34.02,34.121,33.65,34.02,81401203,0.12,92510882.15
2004-09-01,33.93,34.47,33.8,34.27,96683398,0.73,93003116.9
2004-09-02,34.18,34.88,34.16,34.78,83242906,1.49,91671286.8
2004-09-03,34.44,34.67,34.05,34.1406,90245797,-1.84,88741311.8
2004-09-07,34.4,34.61,34.12,34.43,96617305,0.85,89641096.95
2004-09-08,34.31,34.68,34.18,34.299,101674203,-0.38,89410071.95
2004-09-09,34.45,34.75,34.13,34.59,104550305,0.85,88573397.35
2004-09-10,34.62,35.19,34.47,35.12,108628000,1.53,88310842.25
2004-09-13,35.25,35.72,35.14,35.58,109441000,1.31,89211587.15
2004-09-14,35.45,35.73,35.36,35.63,76911602,0.14,89163141.85
2004-09-15,35.42,35.45,35.1,35.253,90476797,-1.06,89208056.3
2004-09-16,35.26,35.57,35.13,35.32,67131602,0.19,87168731.3
2004-09-17,35.23,35.52,35.16,35.43,84052398,0.31,86030966.05
2004-09-20,35.29,35.77,35.18,35.433,111123906,0.01,86985811.35
2004-09-21,35.543,35.85,35.42,35.57,93714305,0.39,87493121.5
2004-09-22,35.44,35.46,34.87,34.95,101501102,-1.74,88230116.45
2004-09-23,34.98,35.15,34.877,34.919,92566508,-0.09,88437771.95
2004-09-24,34.99,35.19,34.75,34.799,103269906,-0.34,90712867.25
2004-09-27,34.62,34.74,34.38,34.5,86093000,-0.86,92086662.15
2004-09-28,34.55,34.69,34.23,34.57,87235602,0.2,93328042.25
2004-09-29,34.56,35.12,34.53,35.08,95787602,1.48,94047362.2
2004-09-30,35.05,35.27,34.89,35.14,74566102,0.17,92941497.4
2004-10-01,35.45,36.15,35.36,36.1,118318305,2.73,94695267.35
2004-10-04,36.36,36.62,36.25,36.3125,108446602,0.59,95605307.6
2004-10-05,36.23,36.49,36.16,36.36,89819508,0.13,95265417.75
2004-10-06,36.31,36.95,36.11,36.65,87944305,0.8,94578922.85
2004-10-07,36.54,36.67,36.17,36.24,82405602,-1.12,93471687.7
2004-10-08,36.08,36.24,35.5,35.58,115110000,-1.82,93795787.7
2004-10-11,35.69,35.86,35.6,35.75,51304000,0.48,90888937.7
2004-10-12,35.43,35.84,35.2,35.69,98207398,-0.17,91953727.5
2004-10-13,36.06,36.14,35.43,35.61,132803406,-0.22,94070057.95
2004-10-14,35.69,35.78,35.33,35.45,99445398,-0.45,95685747.75
2004-10-15,35.49,35.856,35.28,35.63,129189508,0.51,97942603.25
2004-10-18,35.51,36.25,35.4,36.14,109233203,1.43,97848068.1
2004-10-19,36.38,36.57,35.79,35.88,130060602,-0.72,99665382.95
2004-10-20,35.83,36.23,35.65,36.048,106740398,0.47,99927347.75
2004-10-21,36.24,36.79,36.1,36.6,123930602,1.53,101495552.45
2004-10-22,36.61,36.65,35.74,35.8,114365602,-2.19,102050337.25
2004-10-25,35.73,35.81,35.49,35.625,102952305,-0.49,102893302.5
2004-10-26,35.65,35.84,35.41,35.82,98239203,0.55,103443482.55
