date,open,high,low,close,volume,change_percent,avg_vol_20d
2004-08-19,50.05,52.0821,48.028,50.2202,44659096,,
2004-08-20,50.5556,54.5946,50.3003,54.2092,22834343,7.943,
2004-08-23,55.4304,56.7968,54.5796,54.7548,18256126,1.0064,
2004-08-24,55.6757,55.8559,51.8368,52.4875,15247337,-4.1408,
2004-08-25,52.5325,54.0541,51.992,53.0531,9188602,1.0775,
2004-08-26,52.5275,54.029,52.3824,54.009,7094898,1.8019,
2004-08-27,54.1041,54.3644,52.8979,53.1281,6211782,-1.631,
2004-08-30,52.6927,52.7978,51.0561,51.0561,5196798,-3.9001,
2004-08-31,51.2012,51.9069,51.1311,51.2362,4917877,0.3529,
2004-09-01,51.4014,51.5365,49.8849,50.1752,9138253,-2.0709,
2004-09-02,49.6446,51.2362,49.5195,50.8058,15118666,1.2569,
2004-09-03,50.5255,50.9209,49.7097,50.0551,5152442,-1.4777,
2004-09-07,50.5556,51.0511,49.8549,50.8408,5847547,1.5698,
2004-09-08,50.4204,51.5666,50.3003,51.2012,4985609,0.7088,
2004-09-09,51.3163,51.4064,50.5506,51.2062,4061734,0.0098,
2004-09-10,50.8508,53.3333,50.7007,52.7177,8698892,2.9518,
2004-09-13,53.3684,54.2593,53.2833,53.8038,7844148,2.0602,
2004-09-14,53.7788,56.0561,53.4484,55.8008,10828960,3.7116,
2004-09-15,55.3353,57.1722,55.1552,56.0561,10713076,0.4574,
2004-09-16,56.2262,57.958,55.8809,57.042,9266324,1.7589,11263125.5
2004-09-17,57.2673,58.8038,56.8318,58.8038,9472518,3.0885,9503796.6
2004-09-20,58.5335,60.8609,58.4434,59.7397,10628761,1.5916,8893517.5
2004-09-21,59.965,60.2703,58.8138,58.979,7228764,-1.2735,8342149.4
2004-09-22,58.7588,59.8949,58.4635,59.2492,7581211,0.4583,7958843.1
2004-09-23,59.4795,61.3764,58.5686,60.4705,8535656,2.0612,7926195.8
2004-09-24,60.5305,62.1121,59.9399,59.975,9123467,-0.8194,8027624.25
2004-09-27,59.8398,60.5005,58.959,59.1892,7066127,-1.3102,8070341.5
